"","Variable","Correlacion_con_y"
"Salario_hora","Salario_hora",1
"ln_Salario_hora","ln_Salario_hora",0.902196798202881
"y_primaServicios_m","y_primaServicios_m",0.57254261005906
"estrato1","estrato1",0.497772915073223
"p6630s1a1","p6630s1a1",0.491780073169029
"oficio","oficio",0.397573011378173
"p6210","p6210",0.338790842860111
"maxEducLevel","maxEducLevel",0.32335541661643
"p6870","p6870",0.273602924448687
"sizeFirm","sizeFirm",0.263042462466825
"college","college",0.262792352201788
"p6630s2a1","p6630s2a1",0.249633932052643
"p6585s2","p6585s2",0.238610576615946
"p6630s2","p6630s2",0.232313053567368
"p6630s4a1","p6630s4a1",0.231088881817435
"formal","formal",0.228294086720867
"informal","informal",0.228294086720867
"p6426","p6426",0.228272491172424
"p6630s3","p6630s3",0.213237210706314
"microEmpresa","microEmpresa",0.21317549852081
"p6920","p6920",0.179768094771268
"cotPension","cotPension",0.179768094771268
"p7510s6a1","p7510s6a1",0.176263101219907
"p6630s4","p6630s4",0.174019474848567
"p7500s1a1","p7500s1a1",0.170390465937019
